DC #,City,Latitude,Longitude
8106,Olive Branch,34.9618,89.8295
8107,Aurora,39.7294,104.8319
8110,Methuen,42.7262,71.1909
8112,Puyallup,47.1854,122.2929
8113,West Seneca,42.8359,78.7539
8115,Conroe,30.3119,95.4561
8120,Ruther Glen,37.9287,77.4558
8126,McCalla,33.3451,87.014
8130,Anchorage,61.2181,49.9003
8131,Aurora,39.7294,104.8319
8132,Livonia,42.3684,83.3527
8138,Honolulu,21.3069,157.8583
8144,Aurora,41.7606,88.3201
8145,Clear Lake,38.9582,122.6264
8147,Santa Fe Springs,33.9472,118.0853
8148,Duluth,46.7867,92.1005
8149,Memphis,35.1495,90.049
8155,Robbinsville,40.2162,74.6195
8160,Montgomery,32.3792,86.3077
8164,Wash Courthouse,39.5374,83.4376
8165,Oklahoma City,35.4676,97.5164
8170,Tolleson,33.45,112.2593
8173,Wilsonville,45.303,122.7727
8180,Salt Lake City,40.7608,111.891
8182,W.Sacramento,38.5805,121.5302
8183,O'Fallon,38.8106,90.6998
8195,Lakeland,28.0395,81.9498
8772,New Castle,41.0037,80.347
8961,Memphis,35.1495,90.049
